id,email,full_name,avatar_url,created_at,updated_at
033fee5c-4ebb-4825-80ab-0bb0808a8be4,david.rodriguez.1@profile.com,David Rodriguez,https://api.dicebear.com/7.x/avataaars/svg?seed=033fee5c-4ebb-4825-80ab-0bb0808a8be4,2024-01-25 00:00:00.000+00,2024-12-30 00:00:00.000+00
173a887e-1222-4fe6-860b-345c4e35982d,john.brown.2@profile.com,John Brown,https://api.dicebear.com/7.x/avataaars/svg?seed=173a887e-1222-4fe6-860b-345c4e35982d,2024-01-13 00:00:00.000+00,2024-12-27 00:00:00.000+00
cc44fd91-f30b-44b3-a897-96f28dd5ba3e,john.johnson.3@profile.com,John Johnson,https://api.dicebear.com/7.x/avataaars/svg?seed=cc44fd91-f30b-44b3-a897-96f28dd5ba3e,2024-04-23 00:00:00.000+00,2024-08-13 00:00:00.000+00
b5dafae6-e633-49eb-9594-9dcb0779d357,james.garcia.4@profile.com,James Garcia,https://api.dicebear.com/7.x/avataaars/svg?seed=b5dafae6-e633-49eb-9594-9dcb0779d357,2024-11-27 00:00:00.000+00,2024-11-30 00:00:00.000+00
eaf63714-9d3d-4fe2-838c-dd2a36102c5e,emily.miller.5@profile.com,Emily Miller,https://api.dicebear.com/7.x/avataaars/svg?seed=eaf63714-9d3d-4fe2-838c-dd2a36102c5e,2024-08-15 00:00:00.000+00,2024-07-08 00:00:00.000+00
5abbe3bd-2a73-49a6-8c13-6fc4be4615aa,michael.jones.6@profile.com,Michael Jones,https://api.dicebear.com/7.x/avataaars/svg?seed=5abbe3bd-2a73-49a6-8c13-6fc4be4615aa,2024-06-16 00:00:00.000+00,2024-12-19 00:00:00.000+00
226fd27a-e526-47dc-9a50-441e2837fdbc,michael.brown.7@profile.com,Michael Brown,https://api.dicebear.com/7.x/avataaars/svg?seed=226fd27a-e526-47dc-9a50-441e2837fdbc,2024-12-18 00:00:00.000+00,2024-10-29 00:00:00.000+00
4e70d591-81ad-468d-929d-e7042c7726c0,maria.smith.8@profile.com,Maria Smith,https://api.dicebear.com/7.x/avataaars/svg?seed=4e70d591-81ad-468d-929d-e7042c7726c0,2024-04-22 00:00:00.000+00,2024-05-03 00:00:00.000+00
72ecaf09-9933-4a09-8348-3cc6c2ff4a89,james.davis.9@profile.com,James Davis,https://api.dicebear.com/7.x/avataaars/svg?seed=72ecaf09-9933-4a09-8348-3cc6c2ff4a89,2024-02-21 00:00:00.000+00,2024-02-28 00:00:00.000+00
5220c558-854e-4620-a2fd-aeb58ba20028,maria.miller.10@profile.com,Maria Miller,https://api.dicebear.com/7.x/avataaars/svg?seed=5220c558-854e-4620-a2fd-aeb58ba20028,2024-03-12 00:00:00.000+00,2024-12-15 00:00:00.000+00
99f80acb-d80f-4f36-b3bc-9ba64d28052f,jane.miller.11@profile.com,Jane Miller,https://api.dicebear.com/7.x/avataaars/svg?seed=99f80acb-d80f-4f36-b3bc-9ba64d28052f,2024-09-11 00:00:00.000+00,2024-01-26 00:00:00.000+00
cf78f150-2081-402b-acb7-72477be6c099,robert.johnson.12@profile.com,Robert Johnson,https://api.dicebear.com/7.x/avataaars/svg?seed=cf78f150-2081-402b-acb7-72477be6c099,2024-04-13 00:00:00.000+00,2024-05-05 00:00:00.000+00
88a08883-23d7-41c2-bf9b-c7317e1f175a,michael.miller.13@profile.com,Michael Miller,https://api.dicebear.com/7.x/avataaars/svg?seed=88a08883-23d7-41c2-bf9b-c7317e1f175a,2024-07-31 00:00:00.000+00,2024-09-06 00:00:00.000+00
ec5f31f5-2038-4c38-89f4-9d931015bca6,david.martinez.14@profile.com,David Martinez,https://api.dicebear.com/7.x/avataaars/svg?seed=ec5f31f5-2038-4c38-89f4-9d931015bca6,2024-06-18 00:00:00.000+00,2024-11-12 00:00:00.000+00
2eaa26e9-7807-456c-8344-d770d665bb66,john.smith.15@profile.com,John Smith,https://api.dicebear.com/7.x/avataaars/svg?seed=2eaa26e9-7807-456c-8344-d770d665bb66,2024-09-20 00:00:00.000+00,2024-07-27 00:00:00.000+00
3b638e0c-e27c-457b-ab35-1ffac8dc095d,emily.martinez.16@profile.com,Emily Martinez,https://api.dicebear.com/7.x/avataaars/svg?seed=3b638e0c-e27c-457b-ab35-1ffac8dc095d,2024-08-18 00:00:00.000+00,2024-01-06 00:00:00.000+00
d69dadce-cc96-4fe6-b309-4fe4ea0378b1,robert.garcia.17@profile.com,Robert Garcia,https://api.dicebear.com/7.x/avataaars/svg?seed=d69dadce-cc96-4fe6-b309-4fe4ea0378b1,2024-03-27 00:00:00.000+00,2024-05-05 00:00:00.000+00
1449bde9-6a68-4df0-94d8-85595daeee04,james.miller.18@profile.com,James Miller,https://api.dicebear.com/7.x/avataaars/svg?seed=1449bde9-6a68-4df0-94d8-85595daeee04,2024-04-19 00:00:00.000+00,2024-04-18 00:00:00.000+00
